CGISAI,小区名称,小区ID,RAT,Frequency,经度,纬度,azmuith,SiteType,User Number,User segmentation1,Application,User segmentation2,Terminal Type,SiteName
6912A00131DE003,JDE003,3,4G,2100,117.05929,36.64207,220,1,43,Telco+OTT,王者荣耀,,,JNLX0447-HWD390-FHD08
6912A00131A5A02,JA5A02,2,4G,2100,117.058457,36.657204,160,1,25,国内不限量,抖音,,,JNLX0041-HWD390-FHD02
6912A00131A5A02,JA5A02,2,4G,2100,117.058457,36.657204,160,1,1012,省内不限量,抖音,,,JNLX0041-HWD390-FHD02
6912A00131A5A02,JA5A02,2,4G,2100,117.058457,36.657204,160,0,62,Telco+OTT,淘宝,,,JNLX0041-HWD390-FHD02
6912A00131A5A03,JA5A03,3,4G,2100,117.058457,36.657204,270,1,293,Telco+OTT,王者荣耀,,,JNLX0041-HWD390-FHD02
6912A00131A5A03,JA5A03,3,4G,2100,117.058457,36.657204,270,1,565,省内不限量,抖音,,,JNLX0041-HWD390-FHD02
6912A0013290601,J90601,1,4G,2100,117.058192,36.649749,0,1,373,国内不限量,淘宝,,,JNLX0022-HWD391-FRD02
6912A0013290601,J90601,1,4G,2100,117.058192,36.649749,0,1,23,省内不限量,王者荣耀,,,JNLX0022-HWD391-FRD02
6912A0013290601,J90601,1,4G,2100,117.058192,36.649749,0,0,53,Telco+OTT,微信,,,JNLX0022-HWD391-FRD02
6912A0013290601,J90601,1,4G,2100,117.058192,36.649749,0,1,122,Telco+OTT,抖音,,,JNLX0022-HWD391-FRD02
6912A00131A5801,JA5801,1,4G,2100,117.05756,36.647451,20,1,40,Telco+OTT,王者荣耀,,,JNLX0022-HWD390-FH01
6912A00131A5801,JA5801,1,4G,2100,117.05756,36.647451,20,1,1080,国内不限量,抖音,,,JNLX0022-HWD390-FH01
6912A00131A5801,JA5801,1,4G,2100,117.05756,36.647451,20,1,22,省内不限量,抖音,,,JNLX0022-HWD390-FH01
6912A00131A5802,JA5802,2,4G,2100,117.05756,36.647451,120,1,48,Telco+OTT,王者荣耀,,,JNLX0022-HWD390-FH01
6912A00131A5802,JA5802,2,4G,2100,117.05756,36.647451,120,1,8,省内不限量,抖音,,,JNLX0022-HWD390-FH01
6912A00131A5803,JA5803,3,4G,2100,117.05756,36.647451,300,0,25,Telco+OTT,王者荣耀,,,JNLX0022-HWD390-FH01
6912A001328F601,J8F601,1,4G,2100,117.057267,36.650653,0,1,107,省内不限量,头条,,,JNLX0397-HWD391-F2RW07
6912A001320A802,J0A802,2,4G,2100,117.05711,36.65408,145,1,47,省内不限量,微信,,,JNLX0397-HWD390-FHD05
6912A001320A802,J0A802,2,4G,2100,117.05711,36.65408,145,1,32,Telco+OTT,头条,,,JNLX0397-HWD390-FHD05
6912A001320A802,J0A802,2,4G,2100,117.05711,36.65408,145,0,53,国内不限量,微信,,,JNLX0397-HWD390-FHD05
6912A001320A803,J0A803,3,4G,2100,117.05711,36.65408,245,1,30,Telco+OTT,抖音,,,JNLX0397-HWD390-FHD05
6912A00131AE701,JAE701,1,4G,2100,117.056121,36.649176,320,1,502,省内不限量,微信,,,JNLX0436-HWD390-FHD01
6912A00131AE702,JAE702,2,4G,2100,117.056121,36.649176,120,1,63,Telco+OTT,抖音,,,JNLX0436-HWD390-FHD01
6912A00131AE703,JAE703,3,4G,2100,117.056121,36.649176,230,1,38,国内不限量,抖音,,,JNLX0436-HWD390-FHD01
6912A001622E301,J2E301,1,4G,2100,117.054961,36.65243,0,1,853,国内不限量,酷狗,,,JNLX0397-HWD390-FR08
6912A001622E301,J2E301,1,4G,2100,117.054961,36.65243,0,1,667,省内不限量,头条,,,JNLX0397-HWD390-FR08
6912A001622E301,J2E301,1,4G,2100,117.054961,36.65243,0,1,25,Telco+OTT,微信,,,JNLX0397-HWD390-FR08
6912A001622E301,J2E301,1,4G,2100,117.054961,36.65243,0,1,308,省内不限量,王者荣耀,,,JNLX0397-HWD390-FR08
6912A001622FF01,J2FF01,1,4G,2100,117.053737,36.654265,0,1,327,Telco+OTT,抖音,,,JNLX0397-HWD390-FR02
6912A001622FF01,J2FF01,1,4G,2100,117.053737,36.654265,0,1,92,Telco+OTT,酷狗,,,JNLX0397-HWD390-FR02
6912A001622FF01,J2FF01,1,4G,2100,117.053737,36.654265,0,1,25,国内不限量,淘宝,,,JNLX0397-HWD390-FR02
6912A00131D2901,JD2901,1,4G,2100,117.05351,36.644295,260,1,47,省内不限量,抖音,,,JNLX0146-HWD391-FHD01
6912A00131D2902,JD2902,2,4G,2100,117.05351,36.644295,330,0,517,Telco+OTT,微信,,,JNLX0146-HWD391-FHD01
6912A0013292801,J92801,1,4G,2100,117.0532,36.6566,0,0,200,国内不限量,微信,,,JNLX0228-HWD390-FH04
6912A0013292802,J92802,2,4G,2100,117.0532,36.6566,120,1,67,省内不限量,王者荣耀,,,JNLX0228-HWD390-FH04
6912A0013292803,J92803,3,4G,2100,117.0532,36.6566,240,1,715,Telco+OTT,抖音,,,JNLX0228-HWD390-FH04
6912A00131A6001,JA6001,1,4G,2100,117.05191,36.648765,0,0,97,Telco+OTT,王者荣耀,,,JNLX0022-HWD390-FHD04
6912A00131A6002,JA6002,2,4G,2100,117.05191,36.648765,110,1,42,国内不限量,头条,,,JNLX0022-HWD390-FHD04
6912A001622FB01,J2FB01,1,4G,2100,117.05191,36.648765,0,1,20,Telco+OTT,抖音,,,JNLX0139-HWD390-FR01
6912A001622FB01,J2FB01,1,4G,2100,117.05191,36.648765,0,1,155,国内不限量,酷狗,,,JNLX0139-HWD390-FR01
6912A001622FB01,J2FB01,1,4G,2100,117.05191,36.648765,0,0,5,Telco+OTT,淘宝,,,JNLX0139-HWD390-FR01
6912A001622FC01,J2FC01,1,4G,2100,117.051041,36.654751,0,1,18,省内不限量,头条,,,JNLX0397-HWD390-FR01
6912A001622FC01,J2FC01,1,4G,2100,117.051041,36.654751,0,1,48,省内不限量,王者荣耀,,,JNLX0397-HWD390-FR01
6912A001622FC01,J2FC01,1,4G,2100,117.051041,36.654751,0,1,268,Telco+OTT,王者荣耀,,,JNLX0397-HWD390-FR01
6912A00131D7501,JD7501,1,4G,2100,117.05073,36.65279,30,1,127,Telco+OTT,王者荣耀,,,JNLX0031-HWD390-FH01
6912A00131D7502,JD7502,2,4G,2100,117.05073,36.65279,160,1,27,省内不限量,抖音,,,JNLX0031-HWD390-FH01
6912A00131D7503,JD7503,3,4G,2100,117.05073,36.65279,240,1,38,Telco+OTT,微信,,,JNLX0031-HWD390-FH01
6912A0013275D01,J75D01,1,4G,2100,117.050727,36.649128,0,1,32,Telco+OTT,酷狗,,,JNLX0136-HWD391-FR02
6912A0013275D01,J75D01,1,4G,2100,117.050727,36.649128,0,0,10,Other,头条,,,JNLX0136-HWD391-FR02
6912A001622E801,J2E801,1,4G,2100,117.050211,36.657985,0,0,40,Telco+OTT,酷狗,,,JNLX0031-HWD390-FR01
6912A001622E801,J2E801,1,4G,2100,117.050211,36.657985,0,0,77,国内不限量,淘宝,,,JNLX0031-HWD390-FR01
6912A001622E801,J2E801,1,4G,2100,117.050211,36.657985,0,1,85,Telco+OTT,抖音,,,JNLX0031-HWD390-FR01
6912A001331FE01,J1FE01,1,4G,2100,117.050192,36.645557,30,1,58,国内不限量,头条,,,JNLX0146-HWD391-FH02
6912A001331FE02,J1FE02,2,4G,2100,117.050192,36.645557,130,1,437,Telco+OTT,微信,,,JNLX0146-HWD391-FH02
6912A001331FE02,J1FE02,2,4G,2100,117.050192,36.645557,130,1,1225,省内不限量,王者荣耀,,,JNLX0146-HWD391-FH02
6912A001331FE03,J1FE03,3,4G,2100,117.050192,36.645557,220,0,67,Telco+OTT,抖音,,,JNLX0146-HWD391-FH02
6912A0013295C01,J95C01,1,4G,2100,117.04951,36.65686,0,1,435,省内不限量,王者荣耀,,,JNLX0031-HWD391-F2RW02
6912A00131D7001,JD7001,1,4G,2100,117.04936,36.656608,30,1,28,Telco+OTT,头条,,,JNLX0553-HWD390-FH01
6912A00131D7003,JD7003,3,4G,2100,117.04936,36.656608,240,1,75,省内不限量,微信,,,JNLX0553-HWD390-FH01
6912A00131D7003,JD7003,3,4G,2100,117.04936,36.656608,240,1,17,国内不限量,微信,,,JNLX0553-HWD390-FH01
6912A00131D7004,JD7004,4,4G,2100,117.04936,36.656608,300,1,28,Telco+OTT,抖音,,,JNLX0553-HWD390-FH01
6912A00131D7004,JD7004,4,4G,2100,117.04936,36.656608,300,1,40,国内不限量,抖音,,,JNLX0553-HWD390-FH01
6912A0013335101,J35101,1,4G,2100,117.049329,36.643477,0,1,8,国内不限量,淘宝,,,JNLX0522-HWD391-F2RW01
6912A0013335101,J35101,1,4G,2100,117.049329,36.643477,0,1,23,Telco+OTT,酷狗,,,JNLX0522-HWD391-F2RW01
6912A0013335101,J35101,1,4G,2100,117.049329,36.643477,0,1,290,省内不限量,头条,,,JNLX0522-HWD391-F2RW01
6912A00131C1602,JC1602,2,4G,2100,117.049162,36.641958,150,1,10,省内不限量,抖音,,,JNLX0161-HWD390-FHD02
6912A00131C1603,JC1603,3,4G,2100,117.049162,36.641958,230,1,337,省内不限量,抖音,,,JNLX0161-HWD390-FHD02
6912A00131E8601,JE8601,1,4G,2100,117.047678,36.647733,120,1,97,Telco+OTT,王者荣耀,,,JNLX0220-HWD390-FH02
6912A00131E8603,JE8603,3,4G,2100,117.047678,36.647733,0,1,7507,Telco+OTT,微信,,,JNLX0220-HWD390-FH02
6912A00131E8603,JE8603,3,4G,2100,117.047678,36.647733,0,1,1302,国内不限量,头条,,,JNLX0220-HWD390-FH02
6912A00131E8604,JE8604,4,4G,2100,117.047678,36.647733,240,1,1017,省内不限量,微信,,,JNLX0220-HWD390-FH02
6912A00131E4801,JE4801,1,4G,2100,117.04535,36.64261,60,1,58,国内不限量,微信,,,JNLX0161-HWD390-FHD05
6912A00131E4803,JE4803,3,4G,2100,117.04535,36.64261,330,1,65,省内不限量,微信,,,JNLX0161-HWD390-FHD05
6912A0013290705,J90705,5,4G,2100,117.045341,36.651775,120,0,77,省内不限量,酷狗,,,JNLX0239-HWD391-FHW20
6912A0013290706,J90706,6,4G,2100,117.045341,36.651775,280,0,5,Telco+OTT,头条,,,JNLX0239-HWD391-FHW20
6912A0013213701,J13701,1,4G,2100,117.04466,36.64574,350,1,88,省内不限量,淘宝,,,JNLX0161-HWD390-FHD03
6912A0013213702,J13702,2,4G,2100,117.04466,36.64574,140,1,693,国内不限量,头条,,,JNLX0161-HWD390-FHD03
6912A0013213702,J13702,2,4G,2100,117.04466,36.64574,140,1,22,Telco+OTT,酷狗,,,JNLX0161-HWD390-FHD03
6912A0013220701,J20701,1,4G,2100,117.0444,36.64338,0,1,27,Telco+OTT,头条,,,JNLX0161-HWD390-FR01
6912A0013220701,J20701,1,4G,2100,117.0444,36.64338,0,1,40,省内不限量,酷狗,,,JNLX0161-HWD390-FR01
6912A0013220701,J20701,1,4G,2100,117.0444,36.64338,0,1,203,国内不限量,微信,,,JNLX0161-HWD390-FR01
6912A0013220701,J20701,1,4G,2100,117.0444,36.64338,0,1,3,国内不限量,抖音,,,JNLX0161-HWD390-FR01
6912A001325A401,J5A401,1,4G,2100,117.04434,36.644545,0,0,128,国内不限量,淘宝,,,JNLX0146-HWD391-FR01
6912A001325A401,J5A401,1,4G,2100,117.04434,36.644545,0,0,15,Telco+OTT,抖音,,,JNLX0146-HWD391-FR01
6912A001325A401,J5A401,1,4G,2100,117.04434,36.644545,0,1,1272,省内不限量,酷狗,,,JNLX0146-HWD391-FR01
6912A001325A401,J5A401,1,4G,2100,117.04434,36.644545,0,1,42,省内不限量,王者荣耀,,,JNLX0146-HWD391-FR01
6912A00131A9601,JA9601,1,4G,2100,117.044226,36.64917,0,1,152,Telco+OTT,王者荣耀,,,JNLX0239-HWD390-FH05
6912A00131A9601,JA9601,1,4G,2100,117.044226,36.64917,0,0,18,省内不限量,抖音,,,JNLX0239-HWD390-FH05
6912A00131A9602,JA9602,2,4G,2100,117.044226,36.64917,110,1,80,Telco+OTT,王者荣耀,,,JNLX0239-HWD390-FH05
6912A00131A9603,JA9603,3,4G,2100,117.044226,36.64917,270,1,353,国内不限量,微信,,,JNLX0239-HWD390-FH05
6912A00131A9603,JA9603,3,4G,2100,117.044226,36.64917,270,1,22,Telco+OTT,淘宝,,,JNLX0239-HWD390-FH05
6912A00131AF901,JAF901,1,4G,2100,117.043842,36.657263,40,1,72,Telco+OTT,淘宝,,,JNLX0507-HWD390-FH01
6912A00131AF902,JAF902,2,4G,2100,117.043842,36.657263,160,1,257,省内不限量,抖音,,,JNLX0507-HWD390-FH01
6912A00131AF903,JAF903,3,4G,2100,117.043842,36.657263,300,1,28,Telco+OTT,微信,,,JNLX0507-HWD390-FH01
6912A0013320401,J20401,1,4G,2100,117.043205,36.647561,0,1,752,Telco+OTT,酷狗,,,JNLX0238-HWD391-F2R06
6912A0013320401,J20401,1,4G,2100,117.043205,36.647561,0,1,1922,省内不限量,头条,,,JNLX0238-HWD391-F2R06
6912A0013320401,J20401,1,4G,2100,117.043205,36.647561,0,1,97,国内不限量,淘宝,,,JNLX0238-HWD391-F2R06
6912A00131AB802,JAB802,2,4G,2100,117.042732,36.65403,130,1,267,省内不限量,抖音,,,JNLX0283-HWD390-FHD02
6912A00131AB803,JAB803,1,4G,2100,117.042732,36.65403,240,1,15,Telco+OTT,王者荣耀,,,JNLX0283-HWD390-FHD02
6912A001326BE01,J6BE01,1,4G,2100,117.04129,36.65497,0,0,28,Telco+OTT,微信,,,JNLX0142-HWD391-FR03
6912A001326BE01,J6BE01,1,4G,2100,117.04129,36.65497,0,1,17,Telco+OTT,抖音,,,JNLX0142-HWD391-FR03
6912A001326BE01,J6BE01,1,4G,2100,117.04129,36.65497,0,1,67,省内不限量,王者荣耀,,,JNLX0142-HWD391-FR03
6912A00131AC105,JAC105,5,4G,2100,117.040799,36.6506,30,1,35,国内不限量,酷狗,,,JNLX0547-HWD390-FHW03
6912A001334620A,J4620A,1,4G,2100,117.040799,36.6506,0,1,65,省内不限量,王者荣耀,,,JNLX0238-ZX8700-TH01
6912A001334620A,J4620A,1,4G,2100,117.040799,36.6506,0,1,58,Telco+OTT,微信,,,JNLX0238-ZX8700-TH01
6912A0013346214,J46214,2,4G,2100,117.040799,36.6506,60,1,2000,Telco+OTT,抖音,,,JNLX0238-ZX8700-TH01
6912A00131AD701,JAD701,1,4G,2100,117.040771,36.656641,40,1,358,国内不限量,酷狗,,,JNLX0145-HWD390-FHW04
6912A00131AD701,JAD701,1,4G,2100,117.040771,36.656641,40,1,48,Telco+OTT,淘宝,,,JNLX0145-HWD390-FHW04
6912A00131AD702,JAD702,2,4G,2100,117.040771,36.656641,120,1,28,Telco+OTT,微信,,,JNLX0145-HWD390-FHW04
6912A00131AD702,JAD702,2,4G,2100,117.040771,36.656641,120,1,455,省内不限量,抖音,,,JNLX0145-HWD390-FHW04
6912A00131AD703,JAD703,3,4G,2100,117.040771,36.656641,220,1,83,Telco+OTT,抖音,,,JNLX0145-HWD390-FHW04
6912A00131AD703,JAD703,3,4G,2100,117.040771,36.656641,220,1,407,省内不限量,微信,,,JNLX0145-HWD390-FHW04
6912A0013261401,J61401,1,4G,2100,117.039798,36.644873,0,1,8,Telco+OTT,酷狗,,,JNLX0238-HWD391-FRD05
6912A0013261401,J61401,1,4G,2100,117.039798,36.644873,0,1,88,国内不限量,淘宝,,,JNLX0238-HWD391-FRD05
6912A00131C1501,JC1501,1,4G,2100,117.0397,36.64917,0,1,85,Telco+OTT,头条,,,JNLX0238-HWD390-FR01
6912A00131C1501,JC1501,1,4G,2100,117.0397,36.64917,0,1,1453,国内不限量,微信,,,JNLX0238-HWD390-FR01
6912A0013265F01,J65F01,1,4G,2100,117.039417,36.657077,0,1,17,Telco+OTT,酷狗,,,JNLX0171-HWD391-FR02
6912A0013265F01,J65F01,1,4G,2100,117.039417,36.657077,0,1,245,Telco+OTT,头条,,,JNLX0171-HWD391-FR02
6912A0013265F01,J65F01,1,4G,2100,117.039417,36.657077,0,0,20,国内不限量,微信,,,JNLX0171-HWD391-FR02
6912A00131AA301,JAA301,1,4G,2100,117.039285,36.641888,350,0,10,Telco+OTT,淘宝,,,JNLX0142-HWD390-FH02
6912A00131AA302,JAA302,2,4G,2100,117.039285,36.641888,95,0,118,省内不限量,抖音,,,JNLX0142-HWD390-FH02
6912A6001325300,J25300,1,4G,2100,117.0392,36.6578,0,1,42,国内不限量,微信,,,JNLX0171-HWD391-FR01
6912A00131A9C01,JA9C01,1,4G,2100,117.0387,36.64844,20,1,108,Telco+OTT,王者荣耀,,,JNLX0220-HWD390-FH01
6912A00131A9C03,JA9C03,3,4G,2100,117.0387,36.64844,210,1,587,国内不限量,酷狗,,,JNLX0220-HWD390-FH01
6912A001334A20A,J4A20A,1,4G,2100,117.0387,36.64844,0,1,13,Telco+OTT,抖音,,,JNLX0220-ZX8700-TH01
6912A001334A20A,J4A20A,1,4G,2100,117.0387,36.64844,0,1,22,Telco+OTT,酷狗,,,JNLX0220-ZX8700-TH01
6912A001334A20A,J4A20A,1,4G,2100,117.0387,36.64844,0,0,28,省内不限量,淘宝,,,JNLX0220-ZX8700-TH01
6912A001334A214,J4A214,2,4G,2100,117.0387,36.64844,120,1,30,Telco+OTT,头条,,,JNLX0220-ZX8700-TH01
6912A001334A21E,J4A21E,3,4G,2100,117.0387,36.64844,240,1,2503,国内不限量,微信,,,JNLX0220-ZX8700-TH01
6912A00131A8501,JA8501,1,4G,2100,117.038215,36.644533,0,1,77,Telco+OTT,淘宝,,,JNLX0142-HWD390-FHD01
6912A00131A8501,JA8501,1,4G,2100,117.038215,36.644533,0,1,138,国内不限量,微信,,,JNLX0142-HWD390-FHD01
6912A00131A8501,JA8501,1,4G,2100,117.038215,36.644533,0,1,28,省内不限量,抖音,,,JNLX0142-HWD390-FHD01
6912A00131A8502,JA8502,2,4G,2100,117.038215,36.644533,120,1,200,Telco+OTT,王者荣耀,,,JNLX0142-HWD390-FHD01
6912A00131A8503,JA8503,3,4G,2100,117.038215,36.644533,240,1,28,Telco+OTT,王者荣耀,,,JNLX0142-HWD390-FHD01
6912A00131A8503,JA8503,3,4G,2100,117.038215,36.644533,240,1,73,省内不限量,抖音,,,JNLX0142-HWD390-FHD01
6912A0013224601,J24601,1,4G,2100,117.037345,36.647537,0,1,23,国内不限量,淘宝,,,JNLX0220-HWD390-FR02
6912A0013224601,J24601,1,4G,2100,117.037345,36.647537,0,1,398,Telco+OTT,酷狗,,,JNLX0220-HWD390-FR02
6912A00131A7E02,JA7E02,2,4G,2100,117.037016,36.652043,120,1,33,Telco+OTT,王者荣耀,,,JNLX0132-HWD390-FH01
6912A001334B514,J4B514,2,4G,2100,117.037016,36.652043,120,0,122,省内不限量,淘宝,,,JNLX0132-ZX8700-TH01
6912A0013333D01,J33D01,1,4G,2100,117.036157,36.647208,70,1,27,Telco+OTT,抖音,,,JNLX0238-HWD390-F2RW07
6912A00131AAF01,JAAF01,1,4G,2100,117.036086,36.656428,0,1,38,国内不限量,酷狗,,,JNLX0283-HWD390-FH01
6912A00131AAF02,JAAF02,2,4G,2100,117.036086,36.656428,120,1,50,省内不限量,酷狗,,,JNLX0283-HWD390-FH01
6912A00131AAF02,JAAF02,2,4G,2100,117.036086,36.656428,120,1,55,Telco+OTT,淘宝,,,JNLX0283-HWD390-FH01
6912A00131AAF02,JAAF02,2,4G,2100,117.036086,36.656428,120,1,108,Telco+OTT,淘宝,,,JNLX0283-HWD390-FH01
6912A00131AC305,JAC305,5,4G,2100,117.035995,36.649359,250,1,188,Telco+OTT,淘宝,,,JNLX0145-HWD390-FHW02
6912A00131A6203,JA6203,3,4G,2100,117.035807,36.644152,240,1,612,省内不限量,抖音,,,JNLX0047-HWD390-FH01
6912A00131A6203,JA6203,3,4G,2100,117.035807,36.644152,240,1,22,Telco+OTT,王者荣耀,,,JNLX0047-HWD390-FH01
